id,comment,topic,article_title,article_url,score
19199320,السؤال الذي يطرح للسيد رئيس الحكونة صاحب مشروع المخطط الاخضر الذي صرفت عليه اللايير أين هو ؟ أين هي الصورة الوردية التي رسمها انذاك وزير الفلاحة السيد اخنوش بأنه  سيكون اكتفاء ذاتي في مجال الفلاحة الخضر الأسماك الحبوب اليوم المواطن يكتوي بغلاء الأسعار و الحكومة و البرلمان في سباتهم العميق.,اقتصاد,استيراد 220 ألف طن من قمح روسيا,https://www.hespress.com/%d8%a7%d8%b3%d8%aa%d9%8a%d8%b1%d8%a7%d8%af-220-%d8%a3%d9%84%d9%81-%d8%b7%d9%86-%d9%85%d9%86-%d9%82%d9%85%d8%ad-%d8%b1%d9%88%d8%b3%d9%8a%d8%a7-1469024.html,-1
19199339,اين هو المخطط الاخضر  الدي انفقنا عليه ازبد من  ستة ملايير اورو كافية للاكتفاء الذاتي  والمثل يقول ادا أسندتي الأمور لغيري أهلها فنتضري الساعة ولو كانا هادا المسؤول في دولة تحترم شعبها لكان وراء الغضبان بسبب الفشل الغير مبرر,اقتصاد,استيراد 220 ألف طن من قمح روسيا,https://www.hespress.com/%d8%a7%d8%b3%d8%aa%d9%8a%d8%b1%d8%a7%d8%af-220-%d8%a3%d9%84%d9%81-%d8%b7%d9%86-%d9%85%d9%86-%d9%82%d9%85%d8%ad-%d8%b1%d9%88%d8%b3%d9%8a%d8%a7-1469024.html,0
19199302,نازيون مجرمون قتلة اطفال ونساء لاملة ولادين ولاعهد لهم ولا إنسانية فيهم….والانكى من ذلك ان العالم” المتحضر” يتفرج على المذبحة.,خارج الحدود,غارات إسرائيلية تخلف 19 قتيلا في غزة,https://www.hespress.com/%d8%ba%d8%a7%d8%b1%d8%a7%d8%aa-%d8%a5%d8%b3%d8%b1%d8%a7%d8%a6%d9%8a%d9%84%d9%8a%d8%a9-%d8%aa%d8%ae%d9%84%d9%81-19-%d9%82%d8%aa%d9%8a%d9%84%d8%a7-%d9%81%d9%8a-%d8%ba%d8%b2%d8%a9-1469384.html,1
19199312,انها الابادة الجماعية تمارسها إسرائيل في حق شعب اعزل امام صمت عالمي مدعية في ذلك الدفاع عن نفسها  ونسيت انها اغتصبت اراض فلسطينية ومارست شتى انواع الظلم على شعب باكمله,خارج الحدود,غارات إسرائيلية تخلف 19 قتيلا في غزة,https://www.hespress.com/%d8%ba%d8%a7%d8%b1%d8%a7%d8%aa-%d8%a5%d8%b3%d8%b1%d8%a7%d8%a6%d9%8a%d9%84%d9%8a%d8%a9-%d8%aa%d8%ae%d9%84%d9%81-19-%d9%82%d8%aa%d9%8a%d9%84%d8%a7-%d9%81%d9%8a-%d8%ba%d8%b2%d8%a9-1469384.html,1
19199330,في نظري يجب على المحكمة الدولية إصدار قرار بإعتقال كل طياري جيش الإحتلال بتهمة قصف منازل المدانيين ونشر قائمة بأسمائهم وإدراج سلاح الجو إسرائيلي منظمة إرهابية، هذا سيزيد الضغط أكتر على الإحتلال.,خارج الحدود,غارات إسرائيلية تخلف 19 قتيلا في غزة,https://www.hespress.com/%d8%ba%d8%a7%d8%b1%d8%a7%d8%aa-%d8%a5%d8%b3%d8%b1%d8%a7%d8%a6%d9%8a%d9%84%d9%8a%d8%a9-%d8%aa%d8%ae%d9%84%d9%81-19-%d9%82%d8%aa%d9%8a%d9%84%d8%a7-%d9%81%d9%8a-%d8%ba%d8%b2%d8%a9-1469384.html,1
19199336,"ما يحدت امر عظيم لم تشهده البشرية من قبل
ابادة يوميا وكانه اصبح موضف في شركة ابادة البشر يستيقض من نومه يحتسي فنجاة قهوته تم يرتدي سلاحه ليواصل ابادته",خارج الحدود,غارات إسرائيلية تخلف 19 قتيلا في غزة,https://www.hespress.com/%d8%ba%d8%a7%d8%b1%d8%a7%d8%aa-%d8%a5%d8%b3%d8%b1%d8%a7%d8%a6%d9%8a%d9%84%d9%8a%d8%a9-%d8%aa%d8%ae%d9%84%d9%81-19-%d9%82%d8%aa%d9%8a%d9%84%d8%a7-%d9%81%d9%8a-%d8%ba%d8%b2%d8%a9-1469384.html,0
19199338,الغارات الإسرائيلية تقتل 19 شخصا في غزة، بينهم أطفال. الله يرحمهم ويغفر لهم جميعا. فهل كان الألف شخص الذين قتلوا في 7 أكتوبر 2023 ليسوا بشراً، وليس بينهم أطفال؟,خارج الحدود,غارات إسرائيلية تخلف 19 قتيلا في غزة,https://www.hespress.com/%d8%ba%d8%a7%d8%b1%d8%a7%d8%aa-%d8%a5%d8%b3%d8%b1%d8%a7%d8%a6%d9%8a%d9%84%d9%8a%d8%a9-%d8%aa%d8%ae%d9%84%d9%81-19-%d9%82%d8%aa%d9%8a%d9%84%d8%a7-%d9%81%d9%8a-%d8%ba%d8%b2%d8%a9-1469384.html,2
19199341,"هناك مغاطات وظلم كبير
يجب الحكم على حكومة  نتنياهو باكملها بالارهاب وحكومة بيدن نفس الشيء اضافتا الى بعض المسؤولين في فرنسا المانيا و بريطانيا بالدعم المباشر والصريح للارهاب و الابادة
يجب القبض على كل هؤلاء المجرمين وهم الان في دول تابعة للمحكمة الدولية",خارج الحدود,غارات إسرائيلية تخلف 19 قتيلا في غزة,https://www.hespress.com/%d8%ba%d8%a7%d8%b1%d8%a7%d8%aa-%d8%a5%d8%b3%d8%b1%d8%a7%d8%a6%d9%8a%d9%84%d9%8a%d8%a9-%d8%aa%d8%ae%d9%84%d9%81-19-%d9%82%d8%aa%d9%8a%d9%84%d8%a7-%d9%81%d9%8a-%d8%ba%d8%b2%d8%a9-1469384.html,1
19199296,"البوابات  الالكترونية  اصبحت خرج انا تشكل خطرا كبيرا على المجتمع
خاصة لما يستعملها ذءاب  بشرية لا ترحم
يجب الحيطة والحذر  وعدم الثقة
اننا في الغاب الذكي ياكل البليد 
يجب الانتباه والحيطة اكثر",اقتصاد,النصب بشيكات مقاولين ذاتيين يشغل بال مصالح تدبير المخاطر بالأبناك,https://www.hespress.com/%d8%a7%d9%84%d9%86%d8%b5%d8%a8-%d8%a8%d8%b4%d9%8a%d9%83%d8%a7%d8%aa-%d9%85%d9%82%d8%a7%d9%88%d9%84%d9%8a%d9%86-%d8%b0%d8%a7%d8%aa%d9%8a%d9%8a%d9%86-%d9%8a%d8%b3%d8%aa%d9%86%d9%81%d8%b1-%d9%85-1468950.html,2
19199316,"يجب الغاء عقوبة شيك بدون رصيد.
لان الشيك اصبح الآن وسيلة ضمان ليصبح بعد الضمان وسيلة للابتزاز، و التهديد، وليس للمعاملات التجارية. عدد كبير من الاسر و العائلات تم تشريدها اضافة الى الاكتضاض في السجون وبالتالي ظهور مشاكل اجتماعية اخرى كثيرة بسبب هذا الاستهتار.
الشيك هو وسيلة للاداء، ولكي يتم الأداء يجب التأكد من وجود المؤونة قبل قبول الشيك وصرفه.",اقتصاد,النصب بشيكات مقاولين ذاتيين يشغل بال مصالح تدبير المخاطر بالأبناك,https://www.hespress.com/%d8%a7%d9%84%d9%86%d8%b5%d8%a8-%d8%a8%d8%b4%d9%8a%d9%83%d8%a7%d8%aa-%d9%85%d9%82%d8%a7%d9%88%d9%84%d9%8a%d9%86-%d8%b0%d8%a7%d8%aa%d9%8a%d9%8a%d9%86-%d9%8a%d8%b3%d8%aa%d9%86%d9%81%d8%b1-%d9%85-1468950.html,0
19199331,"التكنولوجيا اصبحت تشكل تحدي كبير للدول  كل شئ ممكن وممكن لاي شخص ان يفقد امواله.
لكن في مجتمع اسلامي على الدولة ان تضمن للانسان فقط امرا واحد ضروري وهو العلاج اما حتى قوت يومه اذا كان في صحة جيدة هو و عائلته فسوف يقاتل لكنى المرض لا يرحم وعلى الدولة ان تجعل من العلاج اولية وواجب وحق",اقتصاد,النصب بشيكات مقاولين ذاتيين يشغل بال مصالح تدبير المخاطر بالأبناك,https://www.hespress.com/%d8%a7%d9%84%d9%86%d8%b5%d8%a8-%d8%a8%d8%b4%d9%8a%d9%83%d8%a7%d8%aa-%d9%85%d9%82%d8%a7%d9%88%d9%84%d9%8a%d9%86-%d8%b0%d8%a7%d8%aa%d9%8a%d9%8a%d9%86-%d9%8a%d8%b3%d8%aa%d9%86%d9%81%d8%b1-%d9%85-1468950.html,0
19199266,الفنانون المغاربة مبدعون أينما حلو … واريد توجيه تحية فنية عميقة للفنانة القديرة سعاد صابر على ما اتحفتنا به من أعمال طيلة مسارها.. راجيا من العلي لها دوام الصحة,فن وثقافة,بنعمران تدخل عالم السينما المصرية,https://www.hespress.com/%d8%a8%d9%86%d8%b9%d9%85%d8%b1%d8%a7%d9%86-%d8%aa%d8%af%d8%ae%d9%84-%d8%b9%d8%a7%d9%84%d9%85-%d8%a7%d9%84%d8%b3%d9%8a%d9%86%d9%85%d8%a7-%d8%a7%d9%84%d9%85%d8%b5%d8%b1%d9%8a%d8%a9-1469222.html,-6
19199300,ليس فقط الديربي الذي مات بل الاعداء الداخليين خصوصا استهدفوا كل الكرة والرياضات بالمغرب وكل المغرب .,كاريكاتير اليوم,الديربي الرياضي,https://www.hespress.com/%d8%a7%d9%84%d8%af%d9%8a%d8%b1%d8%a8%d9%8a-%d8%a7%d9%84%d8%b1%d9%8a%d8%a7%d8%b6%d9%8a-1468970.html,3
19199254,"حبذا لو تم تفعيل تبادل الخبرات في مجال الاعمال التي تسمح لليد العاملة المغريية بالهجرة الى لا تفيا
المغاربة مغامرون وتواقون للهحرة
ابحثو لهم عن المنافد  وافتحولهم الابواب والنوافد فلن يبقى في المغرب الا القنافد .",سياسة,لاتفيا تتطلع إلى التعاون مع المغرب,https://www.hespress.com/%d9%84%d8%a7%d8%aa%d9%81%d9%8a%d8%a7-%d8%aa%d8%aa%d8%b7%d9%84%d8%b9-%d8%a5%d9%84%d9%89-%d8%a7%d9%84%d8%aa%d8%b9%d8%a7%d9%88%d9%86-%d9%85%d8%b9-%d8%a7%d9%84%d9%85%d8%ba%d8%b1%d8%a8-1469035.html,1
19199257,لن تكون فقط لاتفيا من ستسعى وراء المغرب والاستفادة من تجاربه … فقريبا سنرى دولا اكبر كالمانيا وفرنسا و بريطانيا ولم لا أمريكا تتقرب من المملكة راجية الاستفادة من تجارب المملكة الرائدة في مجالات كالمناخ و الصناعة و التدبير المائي و القضاء على الفقر,سياسة,لاتفيا تتطلع إلى التعاون مع المغرب,https://www.hespress.com/%d9%84%d8%a7%d8%aa%d9%81%d9%8a%d8%a7-%d8%aa%d8%aa%d8%b7%d9%84%d8%b9-%d8%a5%d9%84%d9%89-%d8%a7%d9%84%d8%aa%d8%b9%d8%a7%d9%88%d9%86-%d9%85%d8%b9-%d8%a7%d9%84%d9%85%d8%ba%d8%b1%d8%a8-1469035.html,2
19199259,لم اسمع بهذه الدولة من قبل ماذا سنستفيذ منها او هي من يتستفيد,سياسة,لاتفيا تتطلع إلى التعاون مع المغرب,https://www.hespress.com/%d9%84%d8%a7%d8%aa%d9%81%d9%8a%d8%a7-%d8%aa%d8%aa%d8%b7%d9%84%d8%b9-%d8%a5%d9%84%d9%89-%d8%a7%d9%84%d8%aa%d8%b9%d8%a7%d9%88%d9%86-%d9%85%d8%b9-%d8%a7%d9%84%d9%85%d8%ba%d8%b1%d8%a8-1469035.html,-10
19199307,ولماذا  لم تناقش مسالة الهجرة والتاشيرات وتيسير الرحلات  يعني الامور التي تهم الشعب المغربي التواق للهجرة والهروب من الفقر,سياسة,لاتفيا تتطلع إلى التعاون مع المغرب,https://www.hespress.com/%d9%84%d8%a7%d8%aa%d9%81%d9%8a%d8%a7-%d8%aa%d8%aa%d8%b7%d9%84%d8%b9-%d8%a5%d9%84%d9%89-%d8%a7%d9%84%d8%aa%d8%b9%d8%a7%d9%88%d9%86-%d9%85%d8%b9-%d8%a7%d9%84%d9%85%d8%ba%d8%b1%d8%a8-1469035.html,-1
19199248,السجن ليس حلا لمشكل التحرش بل يجب بسط مقاربة شاملة ترتكز على التوعية والاحترام المتبادل.,مجتمع,هل تردع إدانة قاصرين بالحبس النافذ سلوكات التحرش في شوارع المغرب؟,https://www.hespress.com/%d9%87%d9%84-%d8%aa%d8%b1%d8%af%d8%b9-%d8%a5%d8%af%d8%a7%d9%86%d8%a9-%d9%82%d8%a7%d8%b5%d8%b1%d9%8a%d9%86-%d8%a8%d8%a7%d9%84%d8%ad%d8%a8%d8%b3-%d8%a7%d9%84%d9%86%d8%a7%d9%81%d8%b0-%d8%b3%d9%84%d9%88-1469157.html,6
19199252,"قاصرين؟واش باقي شي قاصر في هادالزمان؟ولاوا كايحسنوا الواحدبلا ماء.
3سنوات وقلييييلة في حقهم، هادوالي لي ماعاجبهمش الحال وقالوا الحكم قاسي، الله يحفظ كون  كانت بنتهم هي لي تعرضات لهاد الفعل الإجرامي  واش كانوا غادين يعلقوا على الحكم؟
باركة من التشجيع على القيام بالأفعال الإجرامية. قاصر ولا ماشي قاصر، لي دار الذنب يستاهل العقوبة وانتهى الأمر.",مجتمع,هل تردع إدانة قاصرين بالحبس النافذ سلوكات التحرش في شوارع المغرب؟,https://www.hespress.com/%d9%87%d9%84-%d8%aa%d8%b1%d8%af%d8%b9-%d8%a5%d8%af%d8%a7%d9%86%d8%a9-%d9%82%d8%a7%d8%b5%d8%b1%d9%8a%d9%86-%d8%a8%d8%a7%d9%84%d8%ad%d8%a8%d8%b3-%d8%a7%d9%84%d9%86%d8%a7%d9%81%d8%b0-%d8%b3%d9%84%d9%88-1469157.html,37
19199253,هذه الأحكام هي عبرة لكل من سولت له نفسه الإعتداء على الفتياة بالتحرش لكن على فتياتنا المسلمات لبس زيا محتشما حتى لا يستفزوا مشاعر الشباب المراهق.,مجتمع,هل تردع إدانة قاصرين بالحبس النافذ سلوكات التحرش في شوارع المغرب؟,https://www.hespress.com/%d9%87%d9%84-%d8%aa%d8%b1%d8%af%d8%b9-%d8%a5%d8%af%d8%a7%d9%86%d8%a9-%d9%82%d8%a7%d8%b5%d8%b1%d9%8a%d9%86-%d8%a8%d8%a7%d9%84%d8%ad%d8%a8%d8%b3-%d8%a7%d9%84%d9%86%d8%a7%d9%81%d8%b0-%d8%b3%d9%84%d9%88-1469157.html,30
19199255,إنما  الأمم اخلاق ،فإن ذهبت اخلاقهم ذهبوا  !! فويل للابوين الذين يرمون صغارهم إلى  الازقات بدون رقابة ولا نهي !فهذا الذي  يجري في شوارعنا وازقاتنا هو ثمار ما  تخلينا عنه من مسؤوليتنا أمام  اولادنا.,مجتمع,هل تردع إدانة قاصرين بالحبس النافذ سلوكات التحرش في شوارع المغرب؟,https://www.hespress.com/%d9%87%d9%84-%d8%aa%d8%b1%d8%af%d8%b9-%d8%a5%d8%af%d8%a7%d9%86%d8%a9-%d9%82%d8%a7%d8%b5%d8%b1%d9%8a%d9%86-%d8%a8%d8%a7%d9%84%d8%ad%d8%a8%d8%b3-%d8%a7%d9%84%d9%86%d8%a7%d9%81%d8%b0-%d8%b3%d9%84%d9%88-1469157.html,17
19199256,خاصهم يديرو لهم عقوبات تربوية ويقومو بأشغال لفائدة الدولة ،كنظافة الشوارع،او المساهمة في اعمال خيرية لفائدة دار الايتام ودار العجزة و … كما يفعل في الدول المتقدة. أما السجن فوالله سيحول هؤلاء القاصرين الى مجرمين بمعنى الكلمة.,مجتمع,هل تردع إدانة قاصرين بالحبس النافذ سلوكات التحرش في شوارع المغرب؟,https://www.hespress.com/%d9%87%d9%84-%d8%aa%d8%b1%d8%af%d8%b9-%d8%a5%d8%af%d8%a7%d9%86%d8%a9-%d9%82%d8%a7%d8%b5%d8%b1%d9%8a%d9%86-%d8%a8%d8%a7%d9%84%d8%ad%d8%a8%d8%b3-%d8%a7%d9%84%d9%86%d8%a7%d9%81%d8%b0-%d8%b3%d9%84%d9%88-1469157.html,15
